Ok lang kahit manipis,1
yung mismong slime ay okay naman.,1
Okay naman,1
Okay for its price I guess,1
ayos narin thank you seller,1
pede na rin to ,1
okay lang naman di umabot ng ilang days,1
ok naman..,1
ok nmn,1
Ok ung quality pero matagal ang shipping,1
Okay naman,1
Okay ang product,1
"no comment",1
ok narin…,1
okay naman ðŸ˜ðŸ˜ðŸ˜,1
pede na pagtyagaan,1
"Overall, okay yung product",1
okay naman pero bakit parang kulang,1
"para sa presyo nya maayoos nman",1
"Okay naman yung product, medyo natagalan lang ang ship Out from the seller.it took them 4 days bago iship. Out ang item.",1
Okay quality ang cute. ,1
Ok naman quality ng mga items na order ko.,1
worth naman sa price,1
Ok naman po yung toy,1
Ayos naman yung product,1
"order recieved yesterday, ok naman",1
okay naman siya kaso ibang color binigayðŸ˜…,1
Ok na for the price. ,1
Ok lng po yung product tama na sa presyo nya ,1
AYOS LANG NAMAN,1
Ok nman ung item.. Good na para sa price. ,1
Ok nmn,1
ok nadin naman lahat ng items pero ma punit sya ,1
The items are in good condition,1
pede na din ung item pero yung isa may sira eh,1
Ok nman ung items,1
okay lang,1
Okay naman po syaâ£ï¸,1
okay naman na for its price.,1
Ok lang nmn po cya,1
ok yung mga pop its ,1
Okay lang naman,1
ok naman sya,1
Sakto lang sa presyo manipis,1
okay naman akala ko yung popit pa square tas mali rin yung simple dimole dapat 2 circles lang pero okay na,1
Kumpleto naman yung orders,1
okay na rin.,1
mura lang naman. No high expectations and happy naman anak ko.,1
Okay quality,1
okey naman po ang item.,1
Pop it is okey,1
Okay naman kaso mali lang yung isa ang order ko is 3 in 1 keychain. Pero ang dumating 2 in 1. Pero oks naman ðŸ˜Š,1
"Ok yung packaging yung 2 in 1 thing ok den, but the pea popper nabura yung face :c",1
ok na naman lahat,1
Ok nmn maliit nga lang sya ... Cheep price nmn din,1
Okay naman,1
"Okay yung unicorn, ",1
Ok ang item 6 ang bibili ko Di ko Lang napicturan kinuha na Kasi Ng anak ko Pero in isang item butad siya Pero ok Lang Sana sa susunod ok nmn goods laht Ng item,1
OK nadin ðŸ˜Š,1
mura pero di ganun ka worth ,1
Oks ,1
ok naman ung sa anak q kaya lang manipis ung isang pop it & butas na..,1
Ok naman yung mga laruan khit iba yung actual ,1
Okay naman ung item,1
Pop It is in good quality. ,1
tama lang sa presyo nya. ,1
Okay naman siya. Medjo natagalan lang dumating,1
The product was ok kaso late dumating,1
Okay naman Yung pop it,1
okay naman di lang nasunod yung kulay na gusto ko,1
"its really nice, although it is pretty small.",1
okay lang din naman pero bat kulang.,1
"INORDER R20 DUMATING R40, ANONG KLASE YAN, SANA CHINENCK NYONA MUNA BAGO NYO ISHIP OUT, NAKAKAINIS LANG ANG DAMI KO PA NAMAN INORDER. INORDER R20 DUMATING R40, ANONG KLASE YAN, SANA CHINENCK NYONA MUNA BAGO NYO ISHIP OUT, NAKAKAINIS LANG ANG DAMI KO PA NAMAN INORDER. INORDER R20 DUMATING R40,",0
Wrong items. I ordered R20 but the seller deliver R40. Sayang i ordered 3 pieces pa naman tapos lahat mali. Madaya si seller. And di maayos mkipag usap sa chat. Nakaka disappointed. ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0
This is my third time ordering from the same shop. So far the service is good but this time the one I received was not the variation I ordered. I order r20 but on the packaging is r20,0
Lahat ng dineliver alang nagamit??God bless nalang po?? Lahat ng dineliver alang nagamit??God bless nalang po?? Lahat ng dineliver alang nagamit??God bless nalang po??bh,0
Right packaging for the wrong item it is R40 not R20. It has good sound quality yet disappointed for the wrong item. It was shipped immediately yet still disappointed for the wrong item. The seller is responsive yet still disappointed with the wrong item.,0
There's one with right piece in one can i get a replacement to R40?,0
"Both earphones are not working. Sent messages to the seller but are only being ignored. Packaging also states ""built-in magnets"" for the earbuds where in fact, they are not.",0
"sa mga magbabalak pang bumili, WAG NA :)) dahil lang sa curiosity q bumili aq neto pero di nagana, ansaki sa puso char pero expected naman dahil sa price hehe !! so WAG PO BUMILI NETO >:",0
Walang built in magnet guys! tyaka ibang iba sa itsura sa picture.,0
Disappointed ?????? why did you ship out the product ??? No case. Please refund 🤬,0
"Napakanipis. Wag gantong earphone bilhin nyo, sira yung kabilang bud sobrang hina ng tunog. Mura pero di sulit dahil defective. Hays. ??",0
"Di gumagana?? Sana tinesting nio po muna.. Dalawa pa naman binili ko.,Kaloka naman magbalik ng item. ??",0
Bought it for only 28 pesos. EDIT: FOR ONLY 2 WEEKS SIRA NA AGAD. MAGTAKE RISK KAYO KUNG GUSTO NIYO. PERO DAHIL NGA MURA MADALI MASIRA.,0
sabi built in magnets scam lang pala hindi na ako magtataka sa presyo nakakadismaya salamat nalang sa nagdeliverrrrrr,0
